,concept_id,concept_name,child_pair,group_code
74,10010462,Computer forensics,10010463,10010405
74,10010462,Computer forensics,10010464,10010405
74,10010462,Computer forensics,10010465,10010405
74,10010462,Computer forensics,10010466,10010405
74,10010462,Computer forensics,10010467,10010405
74,10010462,Computer forensics,10010468,10010405
75,10010469,Arts and humanities,10010470,10010405
75,10010469,Arts and humanities,10010471,10010405
75,10010469,Arts and humanities,10010472,10010405
75,10010469,Arts and humanities,10010473,10010405
75,10010469,Arts and humanities,10010474,10010405
75,10010469,Arts and humanities,10010475,10010405
76,10010476,Computers in other domains,10003392,10010405
76,10010476,Computers in other domains,10010477,10010405
76,10010476,Computers in other domains,10010478,10010405
76,10010476,Computers in other domains,10010479,10010405
76,10010476,Computers in other domains,10010480,10010405
76,10010476,Computers in other domains,10010936,10010405
76,10010476,Computers in other domains,10011187,10010405
77,10010481,Operations research,10003558,10010405
77,10010481,Operations research,10010482,10010405
77,10010481,Operations research,10010483,10010405
77,10010481,Operations research,10010484,10010405
77,10010481,Operations research,10010485,10010405
77,10010481,Operations research,10010487,10010405
77,10010481,Operations research,10010488,10010405
78,10010489,Education,10003392,10010405
78,10010489,Education,10010490,10010405
78,10010489,Education,10010491,10010405
78,10010489,Education,10010492,10010405
78,10010489,Education,10010493,10010405
78,10010489,Education,10010494,10010405
78,10010489,Education,10010495,10010405
78,10010489,Education,10010496,10010405
79,10010497,Document management and text processing,10010498,10010405
79,10010497,Document management and text processing,10010500,10010405
79,10010497,Document management and text processing,10010504,10010405
79,10010497,Document management and text processing,10010510,10010405
80,10010521,Architectures,10010522,10010520
80,10010521,Architectures,10010528,10010520
80,10010521,Architectures,10010537,10010520
80,10010521,Architectures,10010542,10010520
81,10010553,Embedded and cyber-physical systems,10003238,10010520
81,10010553,Embedded and cyber-physical systems,10010554,10010520
81,10010553,Embedded and cyber-physical systems,10010559,10010520
81,10010553,Embedded and cyber-physical systems,10010560,10010520
81,10010553,Embedded and cyber-physical systems,10010562,10010520
82,10010570,Real-time systems,10010571,10010520
82,10010570,Real-time systems,10010572,10010520
82,10010570,Real-time systems,10010573,10010520
82,10010570,Real-time systems,10010574,10010520
83,10010575,Dependable and fault-tolerant systems and networks,10010577,10010520
83,10010575,Dependable and fault-tolerant systems and networks,10010578,10010520
83,10010575,Dependable and fault-tolerant systems and networks,10010579,10010520
83,10010575,Dependable and fault-tolerant systems and networks,10010580,10010520
83,10010575,Dependable and fault-tolerant systems and networks,10010581,10010520
83,10010575,Dependable and fault-tolerant systems and networks,10010755,10010520
83,10010575,Dependable and fault-tolerant systems and networks,10011743,10010520
84,10010584,Printed circuit boards,10010585,10010583
84,10010584,Printed circuit boards,10010587,10010583
85,10010588,"Communication hardware, interfaces and storage",10003247,10010583
85,10010588,"Communication hardware, interfaces and storage",10010559,10010583
85,10010588,"Communication hardware, interfaces and storage",10010590,10010583
85,10010588,"Communication hardware, interfaces and storage",10010591,10010583
85,10010588,"Communication hardware, interfaces and storage",10010592,10010583
85,10010588,"Communication hardware, interfaces and storage",10010593,10010583
85,10010588,"Communication hardware, interfaces and storage",10010594,10010583
85,10010588,"Communication hardware, interfaces and storage",10010595,10010583
85,10010588,"Communication hardware, interfaces and storage",10010596,10010583
85,10010588,"Communication hardware, interfaces and storage",10010597,10010583
85,10010588,"Communication hardware, interfaces and storage",10010598,10010583
85,10010588,"Communication hardware, interfaces and storage",10011667,10010583
85,10010588,"Communication hardware, interfaces and storage",10011669,10010583
85,10010588,"Communication hardware, interfaces and storage",10011670,10010583
85,10010588,"Communication hardware, interfaces and storage",10011715,10010583
86,10010600,Integrated circuits,10010601,10010583
86,10010600,Integrated circuits,10010602,10010583
86,10010600,Integrated circuits,10010607,10010583
86,10010600,Integrated circuits,10010612,10010583
86,10010600,Integrated circuits,10010615,10010583
86,10010600,Integrated circuits,10010628,10010583
87,10010633,Very large scale integration design,10010601,10010583
87,10010633,Very large scale integration design,10010634,10010583
87,10010633,Very large scale integration design,10010640,10010583
87,10010633,Very large scale integration design,10010645,10010583
87,10010633,Very large scale integration design,10010649,10010583
87,10010633,Very large scale integration design,10010650,10010583
87,10010633,Very large scale integration design,10010651,10010583
87,10010633,Very large scale integration design,10010652,10010583
87,10010633,Very large scale integration design,10010653,10010583
87,10010633,Very large scale integration design,10010654,10010583
87,10010633,Very large scale integration design,10010655,10010583
87,10010633,Very large scale integration design,10010656,10010583
87,10010633,Very large scale integration design,10010659,10010583
88,10010662,Power and energy,10010586,10010583
88,10010662,Power and energy,10010663,10010583
88,10010662,Power and energy,10010668,10010583
88,10010662,Power and energy,10010673,10010583
88,10010662,Power and energy,10010674,10010583
89,10010682,Electronic design automation,10010684,10010583
89,10010682,Electronic design automation,10010689,10010583
89,10010682,Electronic design automation,10010690,10010583
89,10010682,Electronic design automation,10010696,10010583
89,10010682,Electronic design automation,10010697,10010583
89,10010682,Electronic design automation,10010705,10010583
89,10010682,Electronic design automation,10010712,10010583
90,10010717,Hardware validation,10010721,10010583
90,10010717,Hardware validation,10010728,10010583
90,10010717,Hardware validation,10010733,10010583
91,10010737,Hardware test,10010738,10010583
91,10010737,Hardware test,10010739,10010583
91,10010737,Hardware test,10010740,10010583
91,10010737,Hardware test,10010744,10010583
91,10010737,Hardware test,10010745,10010583
91,10010737,Hardware test,10010746,10010583
91,10010737,Hardware test,10010747,10010583
91,10010737,Hardware test,10010748,10010583
91,10010737,Hardware test,10010749,10010583
92,10010750,Robustness,10010751,10010583
92,10010750,Robustness,10010758,10010583
92,10010750,Robustness,10010762,10010583
92,10010750,Robustness,10010769,10010583
93,10010786,Emerging technologies,10010787,10010583
93,10010786,Emerging technologies,10010792,10010583
93,10010786,Emerging technologies,10010799,10010583
93,10010786,Emerging technologies,10010805,10010583
93,10010786,Emerging technologies,10010808,10010583
93,10010786,Emerging technologies,10010809,10010583
93,10010786,Emerging technologies,10010810,10010583
93,10010786,Emerging technologies,10010811,10010583
93,10010786,Emerging technologies,10010812,10010583
93,10010786,Emerging technologies,10010813,10010583
93,10010786,Emerging technologies,10010817,10010583
94,10010940,Software organization and properties,10010941,10011007
94,10010940,Software organization and properties,10010971,10011007
94,10010940,Software organization and properties,10010992,10011007
94,10010940,Software organization and properties,10011003,10011007
95,10011006,Software notations and tools,10011008,10011007
95,10011006,Software notations and tools,10011039,10011007
95,10011006,Software notations and tools,10011041,10011007
95,10011006,Software notations and tools,10011050,10011007
95,10011006,Software notations and tools,10011060,10011007
95,10011006,Software notations and tools,10011066,10011007
95,10011006,Software notations and tools,10011071,10011007
95,10011006,Software notations and tools,10011072,10011007
95,10011006,Software notations and tools,10011073,10011007
96,10011074,Software creation and management,10011075,10011007
96,10011074,Software creation and management,10011081,10011007
96,10011074,Software creation and management,10011092,10011007
96,10011074,Software creation and management,10011099,10011007
96,10011074,Software creation and management,10011111,10011007
96,10011074,Software creation and management,10011134,10011007
96,10011074,Software creation and management,10011784,10011007
97,10002945,Surveys and overviews,,10002944
98,10002946,Reference works,,10002944
99,10002947,General conference proceedings,,10002944
100,10002948,Biographies,,10002944
